,edge,mean_bert_score
107,"('Roman_road', 'Danube')",0.25533199310302734
108,"('Nicolaus_Copernicus', 'Renaissance')",0.17792341113090515
109,"('Nutmeg', 'Cubeb')",0.24263128638267517
110,"('Floppy_disk', 'San_Jose%2C_California')",0.1792677342891693
111,"('Bahrain', 'United_Nations')",0.27801966667175293
112,"('President_of_the_United_States', 'Bill_Clinton')",0.5686806440353394
113,"('19th_century', 'Germany')",0.19440966844558716
114,"('Alexander_the_Great', 'Arabic_language')",0.2686483860015869
115,"('Goldfish', 'United_Kingdom')",0.17177879810333252
116,"('Solomon_Islands', 'John_F._Kennedy')",0.24717499315738678
117,"('Luxembourg', 'World_War_I')",0.1934289038181305
118,"('Love', 'Romeo_and_Juliet')",0.36897674202919006
119,"('Greece', 'Adolf_Hitler')",0.18476812541484833
120,"('Hubble_Space_Telescope', 'Open_cluster')",0.15015634894371033
121,"('British_East_India_Company', 'Socialism')",0.17440932989120483
122,"('Microscope', 'Lyme_disease')",0.23808082938194275
123,"('Europe', 'Poland')",0.6564429998397827
124,"('Stephen_Jay_Gould', 'Tyrannosaurus')",0.1740904599428177
125,"('Ronald_Reagan', 'United_Nations')",0.45504775643348694
126,"('Zebra_shark', 'Binomial_nomenclature')",0.2242662012577057
127,"('Industry', 'Engineering')",0.5699836015701294
128,"('Wine', 'England')",0.3229636549949646
129,"('Animal', 'Energy')",0.3212730586528778
130,"('Euclidean_geometry', 'Geometry')",0.6723015308380127
131,"('Ulysses_S._Grant', 'Battle_of_Gettysburg')",0.45863237977027893
132,"('Yarralumla%2C_Australian_Capital_Territory', 'United_Kingdom')",0.2992386817932129
133,"('15th_century', '16th_century')",0.8465811014175415
134,"('Chestnut', 'Forest')",0.3414752781391144
135,"('Lens_%28anatomy%29', 'Electromagnetic_radiation')",0.28316622972488403
136,"('Barn_Owl', 'Animal')",0.4030764698982239
137,"('Boston%2C_Massachusetts', 'New_England_Patriots')",0.4542039632797241
138,"('James_I_of_England', 'Elizabeth_I_of_England')",0.7030937671661377
139,"('Phosphorus', 'Water')",0.41108131408691406
140,"('British_East_India_Company', 'Potassium_nitrate')",0.2149292677640915
141,"('Cinema_of_the_United_States', 'Cinema_of_the_United_States')",1.0000001192092896
142,"('Harlem_Globetrotters', 'Pope_John_Paul_II')",0.21971532702445984
143,"('Film', 'Cinema_of_the_United_States')",0.578635573387146
144,"('Europium', 'Europe')",0.5436906814575195
145,"('Palace_of_Westminster', 'Mosaic')",0.12145770341157913
146,"('Mole_%28animal%29', 'Europe')",0.08774761110544205
147,"('Mars_Reconnaissance_Orbiter', 'Mars_Exploration_Rover')",0.8021641373634338
148,"('Pope_Pius_XII', 'Italy')",0.2007666826248169
149,"('Sony', 'Television')",0.34055402874946594
150,"('Indian_Ocean', 'Africa')",0.37256622314453125
151,"('Blue_Whale', 'Animal')",0.3224141597747803
152,"('Canada', 'English_language')",0.3025679290294647
153,"('Commodore_64', 'Microsoft')",0.320783793926239
154,"('Tanzania', 'London')",0.41408833861351013
155,"('Mozambique', 'Portugal')",0.6404919624328613
156,"('Hydrochloric_acid', 'Proton')",0.3826046884059906
157,"('Bird_migration', 'Oregon')",0.24583809077739716
158,"('Nahuatl_language', 'Maya_civilization')",0.5567266941070557
159,"('Himalayas', 'People%27s_Republic_of_China')",0.2661784887313843
160,"('Mammal', 'Dolphin')",0.5841203331947327
161,"('United_States_Congress', 'U.S._state')",0.619748592376709
162,"('People%27s_Republic_of_China', 'Republic_of_China')",0.8737683296203613
163,"('Brabham', 'Aluminium')",0.2053399682044983
164,"('India', 'Football_%28soccer%29')",0.16398335993289948
165,"('Bean', 'Seed')",0.4218423366546631
166,"('Names_of_God_in_Judaism', 'God')",0.40107688307762146
167,"('Safflower', 'Saffron')",0.6784411668777466
168,"('Spain', 'Democracy')",0.34488385915756226
169,"('China', 'Go_%28board_game%29')",0.11869413405656815
170,"('Lake_Albert', 'Uganda')",0.230324387550354
171,"('Nirvana_%28band%29', 'Music_of_the_United_States')",0.4417879283428192
172,"('Gazelle', 'Lion')",0.5127620697021484
173,"('Alzheimer%27s_disease', 'Copper')",0.14784438908100128
174,"('Triassic', 'Mammal')",0.39111781120300293
175,"('Martin_Van_Buren', 'Netherlands')",0.12721312046051025
176,"('Ammonite', 'Dinosaur')",0.36321112513542175
177,"('Ulysses_S._Grant', 'President_of_the_United_States')",0.5181471705436707
178,"('Bible', 'Eastern_Orthodox_Church')",0.30388322472572327
179,"('Child', 'Convention_on_the_Rights_of_the_Child')",0.348685085773468
180,"('Cultivar', 'English_language')",0.1848614513874054
181,"('Jimmy_Carter', 'Human_rights')",0.37745824456214905
182,"('Business', 'Wall_Street')",0.36327677965164185
183,"('Art', 'Art')",1.0000001192092896
184,"('Recorder', 'English_language')",0.19908460974693298
185,"('Prague', 'European_Union')",0.3410024344921112
186,"('Mammal', 'Elephant')",0.596635103225708
187,"('Fashion', 'Cotton')",0.36447542905807495
188,"('Winston_Churchill', 'Prime_Minister_of_the_United_Kingdom')",0.5734022259712219
189,"('Elias_Ashmole', 'Mineral')",0.1525639146566391
190,"('German_language', 'World_War_II')",0.3877508342266083
191,"('List_of_elements_by_name', 'Iron')",0.1444302648305893
192,"('Tuberculosis', 'Mammal')",0.2426791489124298
193,"('Acceleration', 'Time')",0.2918981611728668
194,"('Food', 'Islam')",0.408053994178772
195,"('Windsor_Castle', 'England')",0.33922722935676575
196,"('Banknote', 'United_States_dollar')",0.5000939965248108
197,"('Olive_oil', 'Stroke')",0.19755645096302032
198,"('Leon_Trotsky', 'London')",0.1189313679933548
199,"('Tony_Blair', 'Privy_Council_of_the_United_Kingdom')",0.36401739716529846
200,"('Bald_Eagle', 'Fish')",0.2453383207321167
201,"('Europe', 'Africa')",0.650822639465332
202,"('Pacific_Ocean', 'South_China_Sea')",0.5554294586181641
203,"('Inca_Empire', 'Ecuador')",0.4245293140411377
204,"('Prion', 'Animal')",0.2565823495388031
205,"('John_Calvin', 'France')",0.11108651757240295
206,"('Austria', 'German_language')",0.4305129051208496
207,"('Detroit%2C_Michigan', 'Marvin_Gaye')",0.3576810359954834
208,"('Wessex', 'British_Isles')",0.5067331790924072
209,"('Flemish_people', 'Belgium')",0.5803667306900024
210,"('Surtsey', 'France')",0.2562646269798279
211,"('Carolus_Linnaeus', 'Sweden')",0.15597887337207794
212,"('Guatemala', 'Pacific_Ocean')",0.32458943128585815
213,"('North_Africa', 'United_States')",0.49601805210113525
214,"('Delhi', 'Indira_Gandhi')",0.3550165593624115
215,"('Attack_on_Pearl_Harbor', 'Airship')",0.1878633350133896
216,"('Peter_I_of_Russia', 'Soviet_Union')",0.4827725887298584
217,"('Philately', '19th_century')",0.1941697895526886
218,"('England', 'Rome')",0.5107327103614807
219,"('United_Nations', 'Norway')",0.3182225525379181
220,"('Symmetry', 'Science')",0.3311726748943329
221,"('Love', 'Mammal')",0.2677173316478729
222,"('Light', 'Sunlight')",0.7159339785575867
223,"('Middle_Ages', 'Dutch_language')",0.3202540874481201
224,"('Columbine_High_School_massacre', 'United_States')",0.25251397490501404
225,"('Photosynthesis', 'Photon')",0.26227375864982605
226,"('Vietnam', '19th_century')",0.23316402733325958
227,"('Fox', 'Dog')",0.43122386932373047
228,"('Rocky_Mountains', 'Fish')",0.2006162703037262
229,"('Elizabeth_II_of_the_United_Kingdom', 'Antigua_and_Barbuda')",0.3214484453201294
230,"('Hippocrates', 'Medicine')",0.5023574829101562
231,"('Nutrition', 'Vitamin_D')",0.43864870071411133
232,"('Energy', 'Property')",0.3071877062320709
233,"('Radio', 'Guglielmo_Marconi')",0.16594399511814117
234,"('Bird', 'Reptile')",0.5113881826400757
235,"('X_Window_System', 'Internet')",0.005299335345625877
236,"('Ancient_Egypt', 'Engineering')",0.20226983726024628
237,"('Bird', 'Bird')",1.0
238,"('Geography', 'Geology')",0.6422497034072876
239,"('Vegetable', 'Potato')",0.6723517179489136
240,"('Automobile', 'Alcohol')",0.37851572036743164
241,"('Lettuce', 'Petroleum')",0.2801324725151062
242,"('Odysseus', 'Portugal')",0.21584227681159973
243,"('Gas', 'Petroleum')",0.6825746893882751
244,"('Quark', 'Atom')",0.4298003017902374
245,"('Uranus', 'Saint_Petersburg')",0.22301754355430603
246,"('Broadcasting', 'Mass_media')",0.4166984558105469
247,"('Japan', 'Technology')",0.2394811511039734
248,"('Political_economy', 'Politics')",0.6814237236976624
249,"('Wasabi', 'Water')",0.12723678350448608
250,"('Battle_of_Britain', 'Italy')",0.16979414224624634
251,"('Romanticism', 'Pre-Raphaelite_Brotherhood')",0.4028453230857849
252,"('S%C3%A3o_Paulo', 'Earthquake')",0.1742345541715622
253,"('God', 'Jesus')",0.677873432636261
254,"('90377_Sedna', 'Eris_%28dwarf_planet%29')",0.3274821937084198
255,"('Saint_Lucia', 'Saint_Vincent_and_the_Grenadines')",0.6683621406555176
256,"('New_Zealand', 'France')",0.442678302526474
257,"('Copper', 'Alchemy')",0.3191981911659241
258,"('Missouri_River', 'North_America')",0.4290912449359894
259,"('Republic_of_the_Congo', 'Democratic_Republic_of_the_Congo')",0.9571964740753174
260,"('Thomas_Jefferson', 'United_States_Declaration_of_Independence')",0.3830244541168213
261,"('Chemistry', 'Genetics')",0.32178837060928345
262,"('American_English', 'Football')",0.28192663192749023
263,"('Dinosaur', 'Chicken')",0.43329572677612305
264,"('Geography', 'Economics')",0.555887758731842
265,"('Pope_Benedict_XVI', 'Pope_Benedict_XVI')",1.0
266,"('Romania', 'Latin')",0.41640448570251465
267,"('2005_Atlantic_hurricane_season', 'Haiti')",0.3056514263153076
268,"('Calvin_Coolidge', 'Herbert_Hoover')",0.7632557153701782
269,"('Saturn', 'Zeus')",0.4489290118217468
270,"('England', 'Middle_East')",0.371985524892807
271,"('Battle_of_Badr', 'Tribe')",0.19478565454483032
272,"('Love', 'Life')",0.4828524589538574
273,"('Bob_Dylan', 'The_Beatles')",0.5266843438148499
274,"('Reptile', 'Sun')",0.25572291016578674
275,"('Heliocentrism', 'Earth')",0.3328876197338104
276,"('Canola', 'Agriculture')",0.2922748923301697
277,"('Ancient_Egypt', '15th_century')",0.3881959319114685
278,"('Astronomy', 'Comet')",0.34910935163497925
279,"('United_States_Constitution', 'United_States_Senate')",0.6065897941589355
280,"('Health', 'World_Health_Organization')",0.4341246485710144
281,"('Law', 'United_States_Congress')",0.2995671033859253
282,"('Fish', 'Tuna')",0.6833901405334473
283,"('Fruit', 'European_Union')",0.19272080063819885
284,"('Forrest_Gump', 'Yangtze_River')",0.34380704164505005
285,"('South_America', 'Africa')",0.5705506801605225
286,"('Zimbabwe', 'AIDS')",0.3670692443847656
287,"('Zeus', 'Potato')",0.17368045449256897
288,"('New_York_City', 'Global_city')",0.5467107892036438
289,"('Jewellery', 'Christianity')",0.30483460426330566
290,"('Triassic', 'Jurassic')",0.7532631158828735
291,"('Human_rights', 'Autocracy')",0.3396029472351074
292,"('19th_century', 'American_Civil_War')",0.4301510453224182
293,"('New_Zealand', 'Christianity')",0.17608235776424408
294,"('Apple', 'Chile')",0.24963891506195068
295,"('Extinction', 'Yellow_fever')",0.26515379548072815
296,"('Taoism', 'Amur')",0.12997440993785858
297,"('Latin', 'Ancient_Rome')",0.41069018840789795
298,"('Organism', 'Forest')",0.24700984358787537
299,"('Robert_Owen', 'Wales')",0.2646501064300537
300,"('Renaissance', 'Milan')",0.42785313725471497
301,"('Namibia', '19th_century')",0.12779054045677185
302,"('Horn_of_Africa', 'Banana')",0.30976030230522156
303,"('Tropical_cyclone', 'Hurricane_Dennis')",0.6723952293395996
304,"('American_Civil_War', 'Winfield_Scott_Hancock')",0.40225645899772644
305,"('Cleopatra_VII', 'Istanbul')",0.18329231441020966
306,"('Thermodynamic_temperature', 'United_States')",0.21776625514030457
307,"('Human', 'Logic')",0.30352315306663513
308,"('World_War_I', 'Trade_union')",0.3327999711036682
309,"('Penguin', 'Latin')",0.3120967745780945
310,"('French_language', 'Central_African_Republic')",0.3319382071495056
311,"('Country', 'Earth')",0.38712701201438904
312,"('Architecture', 'Science')",0.412814199924469
313,"('England', 'Latin')",0.3119073510169983
314,"('Atom', 'Proton')",0.561535656452179
315,"('Meat', 'Bacteria')",0.3608477711677551
316,"('Western_Roman_Empire', 'Middle_Ages')",0.45125389099121094
317,"('United_States_House_of_Representatives', 'Washington%2C_D.C.')",0.33491650223731995
318,"('Thomas_Malthus', 'Food')",0.22911716997623444
319,"('Formic_acid', 'England')",0.06650173664093018
320,"('Windows_2000', 'English_language')",0.3082483410835266
321,"('Absinthe', 'United_States')",0.09442304074764252
322,"('Chocolate', 'Industry')",0.2121807485818863
323,"('Barbados', 'Caribbean_Sea')",0.4945525527000427
324,"('Platypus', 'Sydney')",0.22405539453029633
325,"('European_Union', 'NATO')",0.5126056671142578
326,"('United_States_House_of_Representatives', 'California')",0.21688473224639893
327,"('Carbon_dioxide', 'Quartz')",0.2074519246816635
328,"('Moon_landing', 'Soviet_Union')",0.46615180373191833
